Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Number_Of_Years,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
9.3,low,0.016047301,Dairy,249.8092,10,medium,tier_1,supermarket_type1,3735.138
5.92,reg,0.019278216,Soft_Drinks,48.2692,0,medium,tier_3,supermarket_type2,443.4228
17.5,low,0.016760075,Meat,141.618,10,medium,tier_1,supermarket_type1,2097.27
19.2,reg,0.0,Fruits_and_Vegetables,182.095,11,medium,tier_3,grocery_store,732.38
8.93,low,0.0,Household,53.8614,22,high,tier_3,supermarket_type1,994.7052
10.395,reg,0.0,Baking_Goods,51.4008,0,medium,tier_3,supermarket_type2,556.6088
13.65,reg,0.012741089,Snack_Foods,57.6588,22,high,tier_3,supermarket_type1,343.5528
12.6,low,0.127469857,Snack_Foods,107.7622,24,medium,tier_3,supermarket_type3,4022.7636
16.2,reg,0.016687114,Frozen_Foods,96.9726,7,medium,tier_2,supermarket_type1,1076.5986
19.2,reg,0.09444959,Frozen_Foods,187.8214,2,medium,tier_2,supermarket_type1,4710.535
11.8,low,0.0,Fruits_and_Vegetables,45.5402,10,medium,tier_1,supermarket_type1,1516.0266
18.5,reg,0.045463773,Dairy,144.1102,12,small,tier_1,supermarket_type1,2187.153
15.1,reg,0.1000135,Fruits_and_Vegetables,145.4786,10,medium,tier_1,supermarket_type1,1589.2646
17.6,reg,0.047257328,Snack_Foods,119.6782,12,small,tier_1,supermarket_type1,2145.2076
16.35,low,0.0680243,Fruits_and_Vegetables,196.4426,22,high,tier_3,supermarket_type1,1977.426
9.0,reg,0.069088961,Breakfast,56.3614,12,small,tier_1,supermarket_type1,1547.3192
11.8,low,0.008596051,Health_and_Hygiene,115.3492,0,medium,tier_3,supermarket_type2,1621.8888
9.0,reg,0.069196376,Breakfast,54.3614,10,medium,tier_1,supermarket_type1,718.3982
12.6,low,0.034237682,Hard_Drinks,113.2834,24,medium,tier_3,supermarket_type3,2303.668
13.35,low,0.10249212,Dairy,230.5352,5,small,tier_2,supermarket_type1,2748.4224
18.85,reg,0.138190277,Snack_Foods,250.8724,22,high,tier_3,supermarket_type1,3775.086
12.6,reg,0.035399923,Baking_Goods,144.5444,24,medium,tier_3,supermarket_type3,4064.0432
14.6,low,0.025698134,Household,196.5084,5,small,tier_2,supermarket_type1,1587.2672
12.6,low,0.057556998,Baking_Goods,107.6938,24,small,tier_1,grocery_store,214.3876
13.85,reg,0.025896485,Frozen_Foods,165.021,12,small,tier_1,supermarket_type1,4078.025
13.0,low,0.099887103,Household,45.906,2,small,tier_2,supermarket_type1,838.908
7.645,reg,0.066693437,Snack_Foods,42.3112,5,small,tier_2,supermarket_type1,1065.28
11.65,low,0.019356132,Hard_Drinks,39.1164,22,high,tier_3,supermarket_type1,308.9312
5.925,reg,0.161466534,Dairy,45.5086,11,high,tier_3,grocery_store,178.4344
12.6,reg,0.072221801,Canned,43.6454,24,small,tier_1,grocery_store,125.8362
19.25,low,0.170348551,Dairy,55.7956,11,small,tier_3,grocery_store,163.7868
18.6,low,0.080829372,Health_and_Hygiene,96.4436,0,medium,tier_3,supermarket_type2,2741.7644
18.7,low,0.0,Snack_Foods,256.6672,0,medium,tier_3,supermarket_type2,3068.0064
17.85,low,0.0,Breads,93.1436,7,medium,tier_2,supermarket_type1,2174.5028
17.5,low,0.097904029,Soft_Drinks,174.8738,12,small,tier_1,supermarket_type1,2085.2856
10.0,low,0.089291137,Health_and_Hygiene,146.7102,10,medium,tier_1,supermarket_type1,3791.0652
12.6,reg,0.059511812,Fruits_and_Vegetables,128.0678,24,medium,tier_3,supermarket_type3,2797.6916
8.85,reg,0.113123893,Soft_Drinks,122.5388,0,medium,tier_3,supermarket_type2,1609.9044
12.6,reg,0.123111453,Snack_Foods,36.9874,24,medium,tier_3,supermarket_type3,388.1614
12.6,low,0.026480954,Snack_Foods,87.6198,24,medium,tier_3,supermarket_type3,2180.495
13.35,low,0.102511504,Dairy,230.6352,12,small,tier_1,supermarket_type1,3435.528
9.8,low,0.02681843,Meat,126.002,22,high,tier_3,supermarket_type1,2150.534
13.6,low,0.117818348,Snack_Foods,192.9136,10,medium,tier_1,supermarket_type1,2527.3768
21.35,low,0.069102831,Canned,259.9278,0,medium,tier_3,supermarket_type2,6501.8699
12.15,reg,0.042277867,Canned,126.5046,22,high,tier_3,supermarket_type1,373.5138
6.42,low,0.089498926,Dairy,178.1002,11,high,tier_3,grocery_store,358.2004
19.6,low,0.0,Health_and_Hygiene,153.3024,7,high,tier_2,supermarket_type1,2428.8384
10.0,low,0.025879577,Canned,265.2226,7,high,tier_2,supermarket_type1,5815.0972
15.85,reg,0.121632721,Baking_Goods,60.622,12,small,tier_1,supermarket_type1,2576.646
12.6,reg,0.195979015,Dairy,196.8794,24,small,tier_1,grocery_store,780.3176
7.39,low,0.067779712,Health_and_Hygiene,143.8812,12,small,tier_1,supermarket_type1,3134.5864
10.195,low,0.159803853,Frozen_Foods,141.5154,22,high,tier_3,supermarket_type1,850.8924
9.895,reg,0.028696932,Canned,117.0492,22,high,tier_3,supermarket_type1,810.9444
10.895,low,0.065041581,Fruits_and_Vegetables,196.3794,2,high,tier_2,supermarket_type1,3121.2704
12.15,low,0.028760013,Household,151.4708,2,high,tier_2,supermarket_type1,4815.0656
7.905,low,0.010053105,Snack_Foods,249.0408,0,medium,tier_3,supermarket_type2,6258.52
9.195,low,0.048157338,Household,106.1622,7,medium,tier_2,supermarket_type1,2117.244
8.365,low,0.071958197,Hard_Drinks,38.0506,10,medium,tier_1,supermarket_type1,796.9626
15.1,low,0.173481304,Snack_Foods,194.511,12,small,tier_1,supermarket_type1,4910.275
12.6,low,0.061082177,Canned,180.0344,24,small,tier_1,grocery_store,892.172
10.0,low,0.0,Fruits_and_Vegetables,246.9144,0,medium,tier_3,supermarket_type2,3185.1872
7.97,reg,0.040071131,Meat,87.3514,7,medium,tier_2,supermarket_type1,1062.6168
12.6,low,0.012090074,Fruits_and_Vegetables,38.2848,24,medium,tier_3,supermarket_type3,484.7024
12.6,reg,0.15028599,Frozen_Foods,51.0692,24,small,tier_1,grocery_store,147.8076
12.6,low,0.026015519,Snack_Foods,255.8356,24,medium,tier_3,supermarket_type3,2543.356
17.7,low,0.195068226,Snack_Foods,185.4266,11,medium,tier_3,grocery_store,184.4266
19.35,low,0.033082215,Meat,172.5738,5,small,tier_2,supermarket_type1,4865.6664
13.65,reg,0.078946455,Dairy,186.024,7,small,tier_2,supermarket_type1,1118.544
17.6,low,0.041700756,Soft_Drinks,164.8526,7,small,tier_2,supermarket_type1,2302.3364
8.645,low,0.143422643,Health_and_Hygiene,95.841,12,small,tier_1,supermarket_type1,2027.361
15.6,reg,0.105296072,Snack_Foods,170.1764,12,small,tier_1,supermarket_type1,3435.528
